Type,Area,Perimeter,Eccentricity,Extent,Solidity,BLue,Green,Red,Point Polygon Test
rice,1255.0,166.3675308227539,0.9550677947914482,0.5432900432900433,0.9598470363288719,80,97,99,-3.605551275463989
rice,1242.5,165.78174448013306,0.9429857643751397,0.506935944512444,0.9448669201520913,51,68,70,3.1622776601683795
rice,1655.0,202.85281205177307,0.957480868312537,0.6355606758832565,0.944634703196347,53,69,71,-1.0
rice,1574.0,204.85281217098236,0.9650829772865557,0.5051347881899871,0.9442111577684463,44,58,58,4.0
rice,1419.5,193.86500442028046,0.9569790685442187,0.38784153005464483,0.943502824858757,55,76,78,7.0710678118654755
rice,1644.5,202.26702547073364,0.9571367585264953,0.5527731092436975,0.9555490993608368,63,85,88,-4.47213595499958
rice,1683.0,204.79393649101257,0.9595465935206019,0.4428947368421053,0.9457712840685586,40,53,53,6.708203932499369
rice,1536.0,191.8233745098114,0.9575950882493365,0.4507042253521127,0.9564134495641345,52,73,74,2.1213203435596424
rice,1694.5,205.29646337032318,0.9545670535001368,0.6748307447232178,0.9361878453038674,55,79,80,-2.0
rice,1320.0,177.39696836471558,0.960244331362183,0.632183908045977,0.9358383551931939,46,64,67,-4.123105625617661
rice,1560.5,195.4385985136032,0.9563458736211935,0.5573214285714285,0.9469053398058253,62,81,83,-0.7071067811865476
rice,1247.5,158.81118178367615,0.9237415671419256,0.7108262108262108,0.9625771604938271,64,87,90,-6.0
rice,1559.0,193.39696848392487,0.9652151989364104,0.7336470588235294,0.958499846295727,68,92,95,-6.708203932499369
rice,1199.0,161.6812390089035,0.8988101546871221,0.5213043478260869,0.9330739299610895,43,59,59,4.949747468305833
rice,1534.0,190.56854152679443,0.9499359155016812,0.7101851851851851,0.9492574257425742,64,87,87,-5.0
rice,1681.5,205.6396095752716,0.9541751633218291,0.7349213286713286,0.9502684374116982,61,85,87,-5.0
rice,1881.0,234.10764491558075,0.9622657492150954,0.41204819277108434,0.9198044009779951,40,57,57,7.615773105863909
rice,1141.0,174.85281205177307,0.956218304862364,0.4453551912568306,0.9157303370786517,53,72,75,1.0
rice,1407.0,195.68123936653137,0.9569298819998711,0.5003556187766715,0.9092084006462036,40,56,58,-0.0
rice,1332.5,188.40916121006012,0.9677149924014068,0.4112654320987654,0.9500891265597148,64,84,86,2.23606797749979
rice,1349.0,183.96551084518433,0.960197388405803,0.39770047169811323,0.956398440269408,55,76,78,3.5355339059327378
rice,1514.0,184.45079040527344,0.9548187693224172,0.4281674208144796,0.9564118761844599,62,82,83,4.949747468305833
rice,1460.5,197.63960909843445,0.969803340016991,0.6994731800766284,0.9592775041050903,59,83,85,-7.0
rice,1541.0,198.4507908821106,0.9689442758166447,0.3850574712643678,0.9488916256157636,63,82,84,2.8284271247461903
rice,1741.0,213.62236392498016,0.9659201086576842,0.43525,0.9410810810810811,60,81,83,5.656854249492381
rice,1494.5,201.63960909843445,0.9691908894209276,0.6871264367816092,0.9440934933670246,57,77,79,-9.0
rice,1122.0,168.36753058433533,0.9663012294269013,0.4931868131868132,0.9226973684210527,43,63,65,-2.23606797749979
rice,1512.5,202.9533176422119,0.973084771381064,0.6138392857142857,0.9560682680151706,64,86,89,-6.708203932499369
rice,1197.5,176.12489020824432,0.94946333277,0.6652777777777777,0.9172730754500191,60,80,83,-8.54400374531753
rice,1341.5,181.23758780956268,0.9584314855349919,0.4418642951251647,0.9185210544334133,62,81,83,4.47213595499958
rice,1478.5,192.26702558994293,0.9596089027751292,0.5052973342447027,0.9432216905901116,42,55,55,1.0
rice,1274.5,177.63960921764374,0.9612412912841501,0.6151061776061776,0.9475836431226766,52,75,79,-7.0710678118654755
rice,1629.0,209.13708317279816,0.9694507711781433,0.40572851805728516,0.9211195928753181,39,51,51,6.324555320336759
rice,1374.5,170.66904664039612,0.9384354069347264,0.759812050856827,0.9595113438045375,73,99,101,-5.0
rice,1524.0,200.3675309419632,0.9703381989052826,0.6815742397137746,0.9451162790697675,61,89,91,-8.0
rice,1467.0,198.16652035713196,0.9651476359670443,0.43738819320214667,0.9379795396419437,67,91,92,-0.0
rice,1559.5,201.43859827518463,0.963012317745541,0.5460434173669467,0.9355128974205159,49,67,70,-1.4142135623730951
rice,1903.5,195.78174483776093,0.9078119590359547,0.7177601809954751,0.9601513240857503,74,98,103,1.0
rice,1683.0,200.02438509464264,0.9564495616577597,0.5462512171372931,0.9573378839590444,64,85,88,-0.0
rice,1774.0,208.45079159736633,0.9676745241917831,0.4168233082706767,0.9555615405332615,63,83,86,0.7071067811865476
rice,1604.5,175.98275470733643,0.9039808315648811,0.7792617775619233,0.9697793895436688,75,100,103,-2.0
rice,1483.5,193.0365778207779,0.9732729116053975,0.38602654176424667,0.953099903629939,41,55,54,6.363961030678928
rice,1288.0,174.36753070354462,0.9375774035311826,0.6436781609195402,0.9177057356608479,57,79,81,-5.385164807134504
rice,1831.5,203.5218585729599,0.949752007973074,0.4498894620486367,0.9551499348109518,58,76,77,12.727922061357855
rice,1443.5,191.72286880016327,0.9638920973527173,0.4124285714285714,0.9512355848434926,67,86,87,-0.7071067811865476
rice,1551.0,206.99494767189026,0.9511032731745502,0.5681318681318681,0.9259701492537313,63,85,86,-2.23606797749979
rice,1455.5,179.72286987304688,0.9543416451126608,0.44106060606060604,0.950065274151436,38,49,48,2.1213203435596424
rice,1535.0,195.88225030899048,0.9656293462674527,0.6945701357466063,0.9537123330226779,56,76,79,-6.324555320336759
rice,1629.0,199.13708198070526,0.9573322051889978,0.42421875,0.9576719576719577,39,52,51,7.7781745930520225
rice,1548.0,194.8528118133545,0.9523107789890758,0.5443037974683544,0.9319686935580975,51,66,67,-1.4142135623730951
rice,1184.0,184.99494671821594,0.9681309326859274,0.3902439024390244,0.9107692307692308,38,51,51,1.4142135623730951
rice,1331.5,182.7523066997528,0.9507898953312292,0.44741263440860213,0.9370161857846587,38,48,48,4.123105625617661
rice,1539.0,205.53910398483276,0.9706419769250083,0.5422832980972516,0.9384146341463414,48,65,67,1.0
rice,1450.0,197.42135524749756,0.9606217331648755,0.3776041666666667,0.928,56,80,83,4.242640687119285
rice,1633.5,202.83556711673737,0.9660797668138585,0.3925739005046864,0.9535901926444834,59,78,80,9.192388155425117
rice,1466.5,201.3797231912613,0.964625985236639,0.40522243713733075,0.9197240514267796,56,75,76,0.7071067811865476
rice,1675.0,204.79393756389618,0.9618210460523539,0.4154265873015873,0.9357541899441341,40,57,59,8.48528137423857
rice,1509.0,179.05382251739502,0.9441248878041301,0.7738461538461539,0.9629865985960434,56,80,83,-5.0990195135927845
rice,1422.5,182.20815062522888,0.9497863785991997,0.43421855921855923,0.9411180946080053,57,78,80,3.5355339059327378
rice,1397.5,197.78174459934235,0.9717288241543626,0.5805982550893228,0.9332220367278798,48,65,65,-3.1622776601683795
rice,1705.0,212.99494743347168,0.9665572028416304,0.5217258261933905,0.941208942865029,67,89,92,-5.0
rice,1475.5,191.29646348953247,0.9584888819771772,0.5997967479674797,0.9479601670414392,63,82,84,-5.0
rice,1599.5,200.6934312582016,0.95735010133404,0.4181699346405229,0.9458900059136606,59,80,82,5.656854249492381
rice,1500.5,193.7817438840866,0.9569921261967849,0.5718368902439024,0.9437106918238993,50,68,69,-0.0
rice,1577.5,204.40916097164154,0.9529631248228764,0.4764421624886741,0.9134337000579039,39,53,53,2.8284271247461903
rice,1464.5,192.2081514596939,0.9509249598464015,0.4139344262295082,0.9219389361032421,63,87,90,5.656854249492381
rice,1366.5,183.72286927700043,0.9493046145054131,0.437000319795331,0.9261267366994239,39,50,51,7.615773105863909
rice,1266.5,194.1248903274536,0.975025488036711,0.5261736601578729,0.9476243920688365,43,59,60,-6.0
rice,1320.0,175.88224983215332,0.9541453987772577,0.6790123456790124,0.9469153515064562,55,76,77,-5.0
rice,1237.5,159.15432798862457,0.9404688672351939,0.6653225806451613,0.9596742923613804,65,85,87,-5.0
rice,1450.0,181.19595801830292,0.9200333727889101,0.56640625,0.9440104166666666,59,79,81,2.23606797749979
rice,1423.5,204.06601512432098,0.9620157269956051,0.43136363636363634,0.9032360406091371,41,60,61,8.246211251235321
rice,1339.0,165.19595777988434,0.9270633569308739,0.5628415300546448,0.9472939511850018,70,93,95,1.0
rice,1266.5,172.06601524353027,0.9515677912825263,0.43447684391080615,0.9292002934702861,51,69,71,5.656854249492381
