First Layer Neurons,Second Layer Neurons,Epochs,Batch_Size,Accuracy
4,4,100,32,0.805
5,5,100,32,0.82
6,6,100,32,0.845
7,7,100,32,0.91
8,8,100,32,0.85
9,9,100,32,0.905
10,10,100,32,0.87
