Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,Red,Green,Blue,Point Polygon Test
pearl_millet,163,303.3208483457565,0.6678610462277387,0.6720988820658164,0.918846195242708,95,73,34,23.259406699226016
pearl_millet,164,317.3208476305008,0.7886035234343693,0.6377476155539251,0.9599668691330756,104,88,48,12.529964086141668
pearl_millet,165,404.2741652727127,0.8401614369968896,0.491204176597435,0.8217981581695624,91,73,39,10.0
pearl_millet,166,387.74725449085236,0.7246099847601389,0.6559869528619529,0.9288587604290822,97,77,44,9.899494936611664
pearl_millet,167,371.6051186323166,0.6160539433371339,0.7654220779220781,0.9518202005248636,112,88,48,19.416487838947603
pearl_millet,168,357.46298360824585,0.6745847998044453,0.6749404761904761,0.9406835905093744,129,103,48,21.213203435596427
pearl_millet,169,445.5462433099746,0.7940671221660576,0.519506628993697,0.8029730410682792,89,70,38,15.231546211727816
pearl_millet,170,349.84775936603546,0.8165306188856558,0.6361997226074896,0.9183183183183184,84,69,36,25.0
pearl_millet,171,256.4507907629013,0.9030835971054084,0.5944170771756979,0.9354005167958656,90,75,45,11.180339887498945
pearl_millet,172,307.32084894180304,0.4245377417964815,0.7153775803501438,0.947318339100346,124,107,65,24.738633753705958
pearl_millet,173,344.8771966695785,0.6584393941951537,0.6226923076923077,0.8863947440459896,107,91,51,15.0
pearl_millet,174,380.77669179439545,0.7887263582314916,0.6690408357075024,0.9209819158980318,104,85,47,5.0
pearl_millet,175,451.1025924682617,0.68702589595717,0.6722689075630253,0.9011828024281869,119,104,59,9.433981132056603
pearl_millet,176,434.6761864423752,0.9287295639195702,0.5669810456917864,0.8556031504767169,102,85,53,3.1622776601683795
pearl_millet,177,390.3746713399887,0.7907257074078541,0.6344806763285025,0.9001884852638794,112,99,59,5.0
pearl_millet,178,434.6761864423752,0.9287295639195702,0.5669810456917864,0.8556031504767169,102,85,53,6.0
pearl_millet,179,332.97770249843603,0.9051765602060654,0.6343294677371395,0.9208935894668682,110,94,54,9.219544457292887
pearl_millet,180,381.7472542524338,0.7878591097916391,0.6238317757009346,0.9060132575757576,120,109,67,22.13594362117865
pearl_millet,181,330.14927566051483,0.5788066248095304,0.7355025773195877,0.9519639729797348,107,82,42,28.16025568065745
pearl_millet,182,570.3990564346312,0.5803593540919433,0.6101001271455817,0.7855425384969561,110,96,63,23.40939982143925
pearl_millet,183,327.22034263610834,0.7070138538438585,0.7233506300963677,0.9296875,110,98,59,27.459060435491967
pearl_millet,184,323.7056238651276,0.6643802865610694,0.7128919860627178,0.9671472465138266,107,92,57,22.67156809750927
pearl_millet,185,368.1909054517746,0.6555613649301997,0.6963946869070209,0.9418306244653549,132,115,69,24.35159132377184
pearl_millet,186,387.4041088819504,0.7136495089316939,0.6425916431684183,0.871004169562196,123,111,73,21.095023109728988
pearl_millet,187,412.3330408334732,0.8610567081177628,0.6430684931506849,0.8484059856864021,87,73,44,29.0
pearl_millet,188,450.2741655111313,0.8074160656702054,0.6285578747628083,0.8601661905998442,112,94,51,10.0
pearl_millet,189,313.66399419307714,0.7070231120799035,0.6375386996904024,0.9168521816562778,85,65,35,13.038404810405297
pearl_millet,190,489.00208699703217,0.8053634702315089,0.4619271205471063,0.6877136995669022,84,62,27,3.6055512754639887
pearl_millet,191,409.688379406929,0.7156510478847115,0.5644203312392918,0.8519827586206896,88,69,37,18.35755975068582
pearl_millet,192,391.0609624385834,0.7838709863509724,0.5825688073394495,0.8529272098229428,113,93,54,9.848857801796104
pearl_millet,193,591.8132692575455,0.8502475005058152,0.5766590389016019,0.8459214501510574,118,105,69,18.35755975068582
pearl_millet,194,388.7178165912628,0.6549831590268028,0.5741295662100456,0.8298442817366196,103,87,54,16.278820596099706
pearl_millet,195,406.57568156719213,0.6692656035383828,0.5810415075120957,0.8288231020704686,113,90,52,13.152946437965904
pearl_millet,196,358.676185965538,0.7976736487898313,0.6044852191641182,0.9304614506811212,87,68,39,4.123105625617661
pearl_millet,197,537.2863582372664,0.5390684756111328,0.624119559328156,0.8511175420232744,107,88,48,9.848857801796104
pearl_millet,198,324.49242138862616,0.8433615644931489,0.614867659222498,0.8543312742422066,107,93,51,9.848857801796104
pearl_millet,199,364.91882717609406,0.8424432454555115,0.6552177177177178,0.9111710457630068,95,77,42,25.238858928247925
pearl_millet,200,368.1909054517746,0.6555613649301997,0.6963946869070209,0.9418306244653549,132,115,69,29.154759474226502
pearl_millet,201,402.61731147766113,0.4850902430933983,0.6573751451800233,0.8430459877117855,93,69,38,24.0
pearl_millet,202,346.291410446167,0.82684305770564,0.7024082568807339,0.9478978591694608,93,79,47,27.202941017470888
pearl_millet,203,637.4112484455109,0.7480122818598733,0.5951505602240896,0.8249711824303828,114,99,58,2.23606797749979
pearl_millet,204,315.0782080888748,0.7050817106373624,0.7163910855499641,0.9726695949243532,108,91,43,25.495097567963924
pearl_millet,205,315.46298348903656,0.7017132448576027,0.6251227295041728,0.939760147601476,107,95,62,19.235384061671343
pearl_millet,206,274.4924206733704,0.6348805020347984,0.6840091190359876,0.9625343721356554,115,96,53,19.849433241279208
pearl_millet,207,375.1614677906037,0.688689108519866,0.6671156004489338,0.9167887714968768,113,96,60,13.45362404707371
pearl_millet,208,504.01427948474884,0.6607538958230031,0.5748538011695906,0.8098867147270855,111,94,53,21.54065922853801
pearl_millet,209,440.3746707439423,0.6924004452484076,0.6209851551956815,0.8637259502580948,93,68,35,5.385164807134505
pearl_millet,210,432.759446978569,0.731329301142173,0.5785356313409119,0.8175850751425117,111,97,57,13.601470508735444
pearl_millet,211,344.67618691921234,0.8696750845002008,0.6218602825745683,0.8784476784476785,93,81,50,17.262676501632072
pearl_millet,212,302.1492751836777,0.7306851214271302,0.652558206381144,0.9231473010064044,92,75,40,21.095023109728988
pearl_millet,213,324.2914109230041,0.6511856540581233,0.6963461538461538,0.941416067250195,115,96,50,24.20743687382041
pearl_millet,214,312.291410446167,0.7608105343216209,0.7000156201187129,0.9308339391421748,103,85,47,24.413111231467404
pearl_millet,215,360.1909053325653,0.6918533671182029,0.7049482163406214,0.9356957385061858,109,87,50,20.0
pearl_millet,216,376.23253524303436,0.7579644781558604,0.678978978978979,0.9262597296190086,120,105,65,15.231546211727816
pearl_millet,217,349.01933240890503,0.5150707795189489,0.7163615560640733,0.9569736339319832,107,93,60,30.08321791298265
