Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,BLue,Green,Red,Point Polygon Test
pearl_millet,1,371.2619729042053,0.8114734853453729,0.5754815945069617,0.9179342865835108,29,53,63,27.018512172212592
pearl_millet,2,374.77669179439545,0.6272908874463139,0.6626189532117367,0.9199697219928433,38,61,70,7.615773105863909
pearl_millet,3,248.79393672943115,0.6544783445573676,0.6452702702702703,0.8979180658159839,41,67,76,17.0
pearl_millet,4,309.0782070159912,0.5610094883833359,0.7156378600823046,0.9398306611421365,29,59,81,30.01666203960727
pearl_millet,5,358.676185965538,0.7976736487898313,0.6044852191641182,0.9304614506811212,28,46,58,7.211102550927978
pearl_millet,6,387.7472541332245,0.5679253750943599,0.7017535408035456,0.9367243264098771,50,77,86,25.0
pearl_millet,7,324.29141092300415,0.6511856540581233,0.6963461538461538,0.941416067250195,32,62,74,21.470910553583888
pearl_millet,8,416.13203048706055,0.6172033214913242,0.6558609349307024,0.8403943110843555,43,67,77,23.323807579381203
pearl_millet,9,291.32084810733795,0.6329078320776202,0.7152213188798555,0.9638835345439789,35,49,56,18.35755975068582
pearl_millet,10,446.1736605167389,0.7980943126593093,0.5267610619469026,0.8618173394336016,47,83,95,11.313708498984761
pearl_millet,11,371.0193325281143,0.7079233497631321,0.655267629566695,0.9321649796041698,42,60,65,18.867962264113206
pearl_millet,12,370.1909054517746,0.788120670558058,0.6773707221468416,0.8707364341085271,55,78,86,22.360679774997898
pearl_millet,13,391.0609624385834,0.7838709863509724,0.5825688073394495,0.8529272098229428,42,64,75,-2.23606797749979
pearl_millet,14,378.09040009975433,0.7718962667275212,0.6459381739755572,0.9353807257584771,35,51,61,9.192388155425117
pearl_millet,15,460.9015818834305,0.7696830136881181,0.5391865079365079,0.8349976954985405,40,56,62,12.529964086141668
pearl_millet,16,369.2030973434448,0.7862741045850681,0.5952131376659678,0.9143853998926462,27,45,53,19.1049731745428
pearl_millet,17,344.6345565319061,0.7667110584806669,0.6623636363636364,0.9413436692506459,38,60,69,21.213203435596427
pearl_millet,18,303.32084822654724,0.8462855129463857,0.6563727801351563,0.9311113588228737,31,47,54,24.698178070456937
pearl_millet,19,611.0681025981903,0.7156084355122555,0.512677304964539,0.7778599771336338,36,55,63,13.45362404707371
pearl_millet,20,401.3036035299301,0.8369033765163068,0.5829573934837092,0.9284811389794425,32,48,53,-4.47213595499958
pearl_millet,21,450.2741655111313,0.8074160656702054,0.6285578747628083,0.8601661905998442,38,71,83,21.587033144922902
pearl_millet,22,290.8355666399002,0.6277603064458956,0.6909949164851126,0.958303958102528,44,69,79,25.45584412271571
pearl_millet,23,380.6761865615845,0.7333403202927654,0.6814440703329592,0.9633743223588523,37,73,88,21.400934559032695
pearl_millet,24,357.8061293363571,0.8021217298105899,0.7254568367989918,0.9277943428156983,43,72,81,26.076809620810597
pearl_millet,25,291.0782070159912,0.7344037876794013,0.7308571428571429,0.9697658989669226,51,69,75,19.091883092036785
pearl_millet,26,327.2203426361084,0.7070138538438585,0.7233506300963677,0.9296875,43,64,71,30.083217912982647
pearl_millet,27,408.1320298910141,0.6419338197423499,0.6598822324628776,0.8961321164710995,39,61,67,17.08800749063506
pearl_millet,28,303.32084834575653,0.6678610462277387,0.6720988820658164,0.9188461952427079,29,53,67,25.942243542145693
